nid,nid_old,heading,changed_from
797,797,"Dickinson, John, 1732-1808",
798,798,"Dickinson, John, 1732-1808. Reasons on which were founded the protest",
799,799,"Dickinson, John, 1732-1808. Speech delivered in the house of Assembly of the province of Pennsylvania, May 24, 1764",
802,802|803,Dictionaries,
800,800,Dictionaries--France--18th century,
801,801,Dictionaries--France--19th century,
805,805,Digestion,
804,804,Digestion--Early works to 1800,
806,806,Diocese of Pennsylvania,
807,807|808,Diphtheria,
810,810,"Diplomatic and consular service, American",
809,809,"Diplomatic and consular service, American--Officials and employees",
811,811|812,Diplomatic relations,
814,814,Discoveries in geography,
813,813,Discoveries in geography--Early works to 1800,
815,815,Discovery (Ship),
818,818,Diseases,
817,817,Diseases--Causes and theories of causation,
816,816,Diseases--Causes and theories of causation--Early works to 1800,
819,819|820,Dispensatories,
829,829,Dissenters,
828,828,"Dissenters, Religious",
821,821,"Dissenters, Religious--Early works to 1800",
825,825,"Dissenters, Religious--England",
822,822,"Dissenters, Religious--England--Controversial literature",
823,823,"Dissenters, Religious--England--Early works to 1800",
824,824,"Dissenters, Religious--England--History--Sources",
826,826,"Dissenters, Religious--Legal status, laws, etc.--Pennsylvania--Early works to 1800",
827,827,"Dissenters, Religious--Poetry",
830,830,Dissenting opinions--Early works to 1800,
831,831,Distillation--Early works to 1800,
833,833,Divorce,
832,832,Divorce--Great Britain--Early works to 1800,
834,834,Dominican Republic,
837,837,Double stars,
835,835,Double stars--Catalogs--Early works to 1800,
836,836,Double stars--Observations,
838,838,"Dove, David James, 1696?-1769",
839,839,"Dover (N.H.)--History, Military",
840,840,Drill and minor tactics,
841,841,Drowning--Resuscitation,
121,121,Drowning--Sermons. Death--Religious aspects,
121,121,Drowning victims--Early works to 1800,
842,842,Druki ulotne,
844,844,"Dufresne, Bertrand, 1736-1801",
843,843,"Du Pont de Nemours, Pierre Samuel, 1739-1817",
845,845,Dyes and dyeing,
846,846,Dysentery--Early works to 1800,
847,847,Dyspepsia,
848,848,"Early church, ca. 30-600",
1215,1215|853|854,Early works,
849,849|850,Early works to 1800,
851,851|852,Early works to 1850,
857,857,Earthquakes,
855,855,Earthquakes--Early works to 1800,
856,856,Earthquakes--Religious aspects--Christianity,
860,860,Easter,
858,858,Easter hymns,
859,859,Easter music,
862,862|863,Eclipses,
861,861,Eclipses--Early works to 1800,
7893,7893,Écoles navales--France,
865,865,Economic history,
864,864,Economic history--United States--1783-1819,
866,866,Economic policy,
867,867|868,Economics,
8121,8121,Economics--Early works to 1800,
869,869,Edema,
870,870,Edu,
888,888|889,Education,
883,883,"Education, Elementary",
885,885,"Education, Higher",
884,884,"Education, Higher--Poetry",
887,887,"Education, Primary",
886,886,"Education, Primary--France--Early works to 1800",
890,890,Educational fund raising,
891,891,Educational literature--Publishing--France--Early works to 1800,
871,871|872,Education--Early works to 1800,
873,873,Education--France--Early works to 1800,
874,874,Education--Great Britain--Early works to 1800,
882,882,Education law and legislation,
875,875,Education--New York (State),
877,877,Education--Pennsylvania,
876,876,Education--Pennsylvania--Philadelphia,
878,878,Education--Sermons--Early works to 1800,
880,880,Education--United States,
879,879,Education--United States--Early works to 1800,
881,881,Education--Virginia--Finance,
892,892,Ekonomiska förhållanden--Sverige,
897,897,Elections,
893,893,Election sermons--Early works to 1800,
